"","treatment","groupID","round","contribution","endowment","share","stock","gain","bot_active","disaster","EWE","noComprehension"
"128","Hi000","Hi000_21",8,40.75,117.75,0.34152526708112,139,21.25,0,0,0,0
"129","Hi000","Hi000_21",9,44.25,139,0.319021007632405,161.75,22.75,0,0,0,0
"130","Hi000","Hi000_21",10,41.75,161.75,0.258989007089854,183,21.25,0,0,0,0
"131","Hi000","Hi000_22",1,15.25,20,0.7625,27.75,7.75,0,0,0,1
"132","Hi000","Hi000_22",2,17.75,27.75,0.627683982683983,37,9.25,0,0,0,1
"133","Hi000","Hi000_22",3,23.75,37,0.638434022257552,49.25,12.25,0,0,0,1
"134","Hi000","Hi000_22",4,27.75,49.25,0.563103523181848,63.5,14.25,0,0,0,1
"135","Hi000","Hi000_22",5,25.5,63.5,0.405670544733045,77,13.5,0,0,0,1
"136","Hi000","Hi000_22",6,32,77,0.416852855607876,93,16,0,0,0,1
"137","Hi000","Hi000_22",7,42.5,93,0.460177020661955,114.5,21.5,0,0,0,1
"138","Hi000","Hi000_22",8,37.5,114.5,0.327672109650394,134,19.5,0,0,0,1
"139","Hi000","Hi000_22",9,52.5,134,0.390783659363091,160.5,26.5,0,0,0,1
"140","Hi000","Hi000_22",10,47.25,160.5,0.292876539749243,184.25,23.75,0,0,0,1
"141","Hi000","Hi000_23",1,13.5,20,0.675,27.5,7.5,0,0,0,0
"142","Hi000","Hi000_23",2,17.25,27.5,0.620786962288087,36.25,8.75,0,0,0,0
"143","Hi000","Hi000_23",3,19,36.25,0.520649596965386,46.25,10,0,0,0,0
"144","Hi000","Hi000_23",4,26.75,46.25,0.583114078964919,60.5,14.25,0,0,0,0
"145","Hi000","Hi000_23",5,31.25,60.5,0.513581869316321,76.25,15.75,0,0,0,0
"146","Hi000","Hi000_23",6,35.75,76.25,0.465047678517998,94.5,18.25,0,0,0,0
"147","Hi000","Hi000_23",7,35,94.5,0.372999456602602,112.5,18,0,0,0,0
"148","Hi000","Hi000_23",8,44,112.5,0.387286294870215,134.5,22,0,0,0,0
"149","Hi000","Hi000_23",9,46.75,134.5,0.350542602744806,158.75,24.25,0,0,0,0
"150","Hi000","Hi000_23",10,49.75,158.75,0.31482451375957,184,25.25,0,0,0,0
"151","Hi000","Hi000_24",1,12,20,0.6,26,6,0,0,0,0
"152","Hi000","Hi000_24",2,13.5,26,0.519401410405908,33.5,7.5,0,0,0,0
"153","Hi000","Hi000_24",3,20.75,33.5,0.623431899641577,44.75,11.25,0,0,0,0
"154","Hi000","Hi000_24",4,25.75,44.75,0.579787029378474,58,13.25,0,0,0,0
"155","Hi000","Hi000_24",5,30.5,58,0.527777777777778,73.5,15.5,0,0,0,0
"156","Hi000","Hi000_24",6,37,73.5,0.502214880010621,92.5,19,0,0,0,0
"157","Hi000","Hi000_24",7,44.5,92.5,0.483281086729363,115,22.5,0,0,0,0
"158","Hi000","Hi000_24",8,45.75,115,0.393721376058333,138.25,23.25,0,0,0,0
"159","Hi000","Hi000_24",9,49.75,138.25,0.35666062010227,163.5,25.25,0,0,0,0
"160","Hi000","Hi000_24",10,45,163.5,0.275643328203851,186.5,23,0,0,0,0
"161","Hi000","Hi000_25",1,13.75,20,0.6875,27.25,7.25,0,0,0,1
"162","Hi000","Hi000_25",2,17,27.25,0.611710811261036,36.25,9,0,0,0,1
"163","Hi000","Hi000_25",3,23.75,36.25,0.662401834931662,48.5,12.25,0,0,0,1
"164","Hi000","Hi000_25",4,27.25,48.5,0.569414024131005,62.25,13.75,0,0,0,1
"165","Hi000","Hi000_25",5,35,62.25,0.567960792061819,80.25,18,0,0,0,1
"166","Hi000","Hi000_25",6,42,80.25,0.518341734130398,101.25,21,0,0,0,1
"167","Hi000","Hi000_25",7,40.75,101.25,0.403475460944629,122.5,21.25,0,0,0,1
"168","Hi000","Hi000_25",8,49.25,122.5,0.40266799501316,147.25,24.75,0,0,0,1
"169","Hi000","Hi000_25",9,58.75,147.25,0.399232200355915,177.5,30.25,0,0,0,1
"170","Hi000","Hi000_25",10,49.25,177.5,0.278473962684489,202.25,24.75,0,0,0,1
"171","Hi000","Hi000_26",1,14.5,20,0.725,27.5,7.5,0,0,0,0
"172","Hi000","Hi000_26",2,20.75,27.5,0.751615721443308,38.75,11.25,0,0,0,0
"173","Hi000","Hi000_26",3,25.5,38.75,0.65679401205717,52.25,13.5,0,0,0,0
"174","Hi000","Hi000_26",4,30,52.25,0.56790743978244,67.25,15,0,0,0,0
"175","Hi000","Hi000_26",5,30.5,67.25,0.45609268194014,82.75,15.5,0,0,0,0
"176","Hi000","Hi000_26",6,44,82.75,0.530580329253213,104.75,22,0,0,0,0
"177","Hi000","Hi000_26",7,50.25,104.75,0.480287583033622,130.5,25.75,0,0,0,0
"178","Hi000","Hi000_26",8,53.25,130.5,0.410490293084582,157.25,26.75,0,0,0,0
"179","Hi000","Hi000_26",9,62,157.25,0.394839684200466,188.25,31,0,0,0,0
